NAME,RACE,SUBCLASS,LEVEL,VITALITY,ARMOR,ENEMY,MAIN,OFFHAND,SCHOOL/FACTION,SUMMONING,AFFINITY,DISGUISE,ENRAGED
BREAD,HUMAN,BARBARIAN,4,6,10,1,SPOON,FORK,NONE,0,NONE,0,1
RICE,HUMAN,MAGE,9,9,3,1,STAFF,NONE,ELEMENTAL,1,NONE,0,0
NAAN,HUMAN,SCOUNDREL,1,16,9,1,STEEL,NONE,SHADOWBLADE,0,NONE,1,0
BAGEL,HUMAN,RANGER,8,15,11,1,WOOD 30;BLOOD 5,NONE,NONE,0,BLOOD,0,0
SPYNACH,ELF,BARBARIAN,9,7,10,0,SPEAR,NONE,NONE,0,NONE,0,1
KALE,ELF,MAGE,5,9,7,1,WAND,NONE,ILLUSION,1,NONE,0,0
BROCCOLI,ELF,SCOUNDREL,7,7,7,0,MITHRIL,NONE,CUTPURSE,0,NONE,1,0
CABBAGE,ELF,RANGER,1,10,5,0,FIRE 3;WATER 4;POISON 2,NONE,NONE,1,FIRE;POISON,0,0
GRANITE,DWARF,BARBARIAN,3,18,6,1,MACE,MACE,NONE,0,NONE,0,1
BASALT,DWARF,MAGE,3,20,12,1,WAND,NONE,ILLUSION,0,NONE,0,0
MARBLE,DWARF,SCOUNDREL,7,10,10,1,IRON,NONE,SHADOWBLADE,0,NONE,0,0
QUARTZ,DWARF,RANGER,2,6,6,1,WOOD 10;POISON 4,NONE,NONE,1,NONE,0,0
NOODLE,LIZARD,BARBARIAN,2,8,8,0,GLAIVE,HANDAXE,NONE,0,NONE,0,0
RAMEN,LIZARD,MAGE,6,16,11,1,STAFF,NONE,ELEMENTAL,1,NONE,0,0
UDON,LIZARD,SCOUNDREL,7,8,10,0,ADAMANT,NONE,CUTPURSE,0,NONE,1,0
SOBA,LIZARD,RANGER,7,16,3,1,FIRE 15;BLOOD 8,NONE,NONE,1,WATER,0,0
SKULL,UNDEAD,BARBARIAN,9,15,10,0,SCYTHE,NONE,NONE,0,NONE,0,0
MORBIN,UNDEAD,MAGE,5,9,5,0,WAND,NONE,NECROMANCY,0,NONE,0,0
SPINUS,UNDEAD,SCOUNDREL,7,17,5,1,RUNE,NONE,SILVERTONGUE,0,NONE,0,0
MARROW,UNDEAD,RANGER,2,10,6,0,WATER 6;POISON 18,NONE,NONE,1,POISON;BLOOD,0,0